len create find delete
2000 1739392 4305690 15848
4000 9051198 20478951 31529
6000 22370032 49185155 47706
8000 41421359 89655328 64745
10000 68199013 155620449 83197
12000 105877316 256937263 104057
14000 156004857 390693742 127224
16000 221152235 580294476 157154
18000 302354855 820103206 187246
20000 406688007 1111094661 221473
22000 524245647 1445609857 253609
24000 658280641 1838013855 283223
26000 827812955 2275093230 318136
28000 1008584008 2751056078 352293
30000 1214065059 3293418105 381773
32000 1461153301 3871354872 418741
34000 1701979637 4489106814 454686
36000 1981608771 5172590963 480153
38000 2278194815 5885682886 519847
40000 2587673536 6636704410 552324
