len create find delete
2000 196450 155940 32199
4000 425318 352736 65506
6000 684738 569310 99293
8000 955569 796801 134663
10000 1206605 1017265 168412
12000 1532155 1292866 207839
14000 1807016 1520211 246064
16000 2144763 1789856 291665
18000 2431160 2036538 330201
20000 2860364 2349880 379100
22000 3153416 2631135 413815
24000 3544296 3324095 558749
26000 4315941 3230699 516301
28000 4232131 3596792 557334
30000 4543303 3818920 595856
32000 4947753 4173629 637749
34000 5286053 4438335 681536
36000 5683085 4794708 725649
38000 6030981 5070829 772217
40000 6499160 5448821 817337
